137113,602
137113,299687
137113,49849
366924,155
366924,30061
366924,49026
366924,14011
366924,76589
166424,99861
166424,100402
166424,271110
166424,102899
166424,24428
49849,602
49849,348
49849,7453
49849,228161
68721,99861
68721,10138
68721,100402
68721,76338
1895,11
1895,1892
1895,1891
39254,307081
39254,70
39254,1366
39254,22881
68724,157336
68724,811
68724,19761
68724,62
68724,81796
284053,100402
284053,76338
284053,10195
284053,1771
284053,271110
75612,602
75612,157336
75612,286217
75612,19995
75612,118340
97020,87101
97020,4723
97020,101299
97020,264660
49521,1924
49521,8536
49521,9531
49521,100402
9693,101299
9693,602
9693,7191
9693,604
6479,534
6479,9659
6479,185063
6479,25769
37686,76341
37686,281957
37686,273481
37686,245891
37686,101299
49529,76341
49529,49849
49529,8870
49529,245506
7191,602
7191,27576
7191,146301
107985,602
107985,109414
107985,72190
107985,14161
1487,155
1487,49026
1487,49521
1487,1452
1487,1924
15512,91314
15512,19995
15512,17654
15512,68726
15512,602
2277,87101
2277,157336
2277,78
2277,198184
2277,76341
41154,602
41154,299687
41154,7453
41154,118340
41154,49849
36586,155
36586,99861
36586,209112
36586,100402
36586,49026
80274,602
80274,157336
80274,299687
80274,286217
80274,118340
61791,10527
61791,9836
61791,1687
61791,6950
1894,11
1894,1892
1894,1891
608,607
608,602
608,955
608,679
608,954
296,218
296,534
296,157336
296,603
38,12225
38,300
38,27066
38,4507
38,292431
601,95
601,607
601,602
601,608
601,679
9738,9806
9738,9741
9738,11188
9738,11891
209112,30061
209112,14011
209112,100402
209112,49521
209112,99861
54138,286217
54138,13475
54138,75612
54138,602
59967,281957
59967,27576
59967,357096
59967,76341
59967,245891
7453,602
7453,157336
7453,679
106,299687
106,602
106,7453
106,49849
106,137113
49049,76341
49049,281957
49049,4638
49049,97020
262543,76341
262543,87101
262543,2048
262543,157336
262543,78
124905,15766
124905,1682
124905,19545
124905,15767
124905,39256
10386,91314
10386,68726
10386,15512
10386,217
10386,38356
44943,101299
44943,7191
44943,14161
44943,602
70160,314
70160,9323
70160,117826
70160,124787
1724,99861
1724,1771
1724,100402
1724,76338
13475,602
13475,2164
13475,4437
13475,152
2675,11548
2675,17654
2675,11544
2675,679
2675,602
157353,157336
157353,62
157353,201088
157353,605
157353,97020
11253,99861
11253,155
11253,209112
11253,100402
11253,24428
180,807
180,861
180,2277
180,644
180,7980
604,140300
604,954
604,2048
49530,76341
49530,157336
49530,87101
49530,177572
49530,198184
644,603
644,534
644,78
644,1213
644,307663
307663,603
307663,605
307663,78
307663,62
307663,2048
13183,155
13183,49026
13183,49521
13183,272
13183,75656
348,679
348,602
348,607
348,608
1272,157336
1272,602
1272,957
1272,95
1272,605
60935,273248
60935,1091
60935,253412
60935,44214
60935,13475
16320,140300
16320,24
16320,604
16320,605
16320,9502
14161,602
14161,281957
14161,27576
14161,9693
74,299687
74,602
74,107985
74,109414
74,14161
46529,955
46529,607
46529,954
46529,956
46529,608
44833,602
44833,22825
44833,4961
44833,3034
44833,9538
63,76341
63,87101
63,294254
63,110415
19959,1635
19959,9304
19959,17431
19959,817
39513,602
45612,27576
45612,105
45612,807
45612,193893
45612,75780
1954,87101
1954,127585
1954,41154
1954,38
1954,206487
9928,105
9928,165
9928,196
9928,530
88751,11571
88751,425
88751,35002
88751,135397
88751,18890
64635,37724
64635,27576
64635,268490
64635,35632
605,140300
605,98566
605,2048
605,24
20526,157336
20526,87101
20526,198184
20526,603
20526,240832
10865,12
10865,150540
10865,585
10865,920
10865,150689
7299,36022
7299,36024
7299,36025
7299,637
